source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence	source_cond	target_cond
Platelets~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00771757624137704	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
Treg~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00213971856733191	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
VSM~cold2	Adipocytes~cold2	Tgfb1	ACVR1C_TGFbR2	0.00114294696479759	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
Basophils~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00619324347206099	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Bcells~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.0065350617741783	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
CD4T~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00156024266871791	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
CD8T~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00149847296895599	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Cytotoxic_T~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00188936573405781	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
EC~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00556181270035815	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Erythroid-like~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00146712369108997	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
ILC2s~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00629830396592794	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Lymph_EC~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00767707753668492	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Macrophages~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00975207704155589	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Neutrophils~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00246466769088798	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
NK~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.0025193051991555	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
NMSC~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.000362091960270188	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Pericytes~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00626377337683306	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Platelets~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00889763973337677	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Treg~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00207676030603167	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
VSM~cold7	Adipocytes~cold7	Tgfb1	ACVR1C_TGFbR2	0.00197669769292202	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Basophils~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.00119225758980889	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
Bcells~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.00132103847817965	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
CD8T~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.000673766815013244	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
Cytotoxic_T~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.000853005252589356	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
EC~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.00224567452660352	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
Erythroid-like~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.000654511348527392	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
ILC2s~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.0028188877594503	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
Lymph_EC~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.00384992367647622	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
Macrophages~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.00312068589639769	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
NK~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.00120517523019085	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
Pericytes~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.00115822771163628	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
Platelets~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.00142580598267022	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
Treg~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.000931989534392567	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
VSM~RT	Adipocytes~RT	Tgfb1	ACVR1C_TGFbR2	0.000476768379645071	0	TGFB1_ACVR1C_TGFBR2	Tgfb1  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
Lymph_EC~cold2	Adipocytes~cold2	Tgfb2	ACVR1C_TGFbR2	0.00131072305137764	0	TGFB2_ACVR1C_TGFBR2	Tgfb2  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
VSM~cold2	Adipocytes~cold2	Tgfb2	ACVR1C_TGFbR2	0.00124687468149394	0	TGFB2_ACVR1C_TGFBR2	Tgfb2  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
Lymph_EC~cold7	Adipocytes~cold7	Tgfb2	ACVR1C_TGFbR2	0.00215998109699755	0	TGFB2_ACVR1C_TGFBR2	Tgfb2  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
VSM~cold7	Adipocytes~cold7	Tgfb2	ACVR1C_TGFbR2	0.00270206522880534	0	TGFB2_ACVR1C_TGFBR2	Tgfb2  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Lymph_EC~RT	Adipocytes~RT	Tgfb2	ACVR1C_TGFbR2	0.000430341595220355	0	TGFB2_ACVR1C_TGFBR2	Tgfb2  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
VSM~RT	Adipocytes~RT	Tgfb2	ACVR1C_TGFbR2	0.00153945896635733	0	TGFB2_ACVR1C_TGFBR2	Tgfb2  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
Lymph_EC~cold2	Adipocytes~cold2	Tgfb3	ACVR1C_TGFbR2	0.00103312981635964	0	TGFB3_ACVR1C_TGFBR2	Tgfb3  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
VSM~cold2	Adipocytes~cold2	Tgfb3	ACVR1C_TGFbR2	0.00393270832446321	0	TGFB3_ACVR1C_TGFBR2	Tgfb3  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold2	cold2
Lymph_EC~cold7	Adipocytes~cold7	Tgfb3	ACVR1C_TGFbR2	0.00111469199332125	0	TGFB3_ACVR1C_TGFBR2	Tgfb3  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
VSM~cold7	Adipocytes~cold7	Tgfb3	ACVR1C_TGFbR2	0.00466144394728546	0	TGFB3_ACVR1C_TGFBR2	Tgfb3  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	cold7	cold7
Lymph_EC~RT	Adipocytes~RT	Tgfb3	ACVR1C_TGFbR2	0.000574593700621989	0	TGFB3_ACVR1C_TGFBR2	Tgfb3  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
VSM~RT	Adipocytes~RT	Tgfb3	ACVR1C_TGFbR2	0.00214003546015425	0	TGFB3_ACVR1C_TGFBR2	Tgfb3  - (Acvr1c+Tgfbr2)	TGFb	Secreted Signaling	PMID: 27449815	RT	RT
Pdgfra_APC~TN	Pdgfra_APC~TN	Bmp2	BMPR1A_ACVR2A	0.000516947449302395	0	BMP2_BMPR1A_ACVR2A	Bmp2  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	TN	TN
VSM~TN	Pdgfra_APC~TN	Bmp2	BMPR1A_ACVR2A	0.00273880564709661	0	BMP2_BMPR1A_ACVR2A	Bmp2  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	TN	TN
VSM~cold2	Adipocytes~cold2	Bmp2	BMPR1A_BMPR2	0.00142389165416591	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	cold2	cold2
VSM~cold7	NMSC~cold7	Bmp2	BMPR1A_BMPR2	0.0041679172140944	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	cold7	cold7
VSM~cold7	Pdgfra_APC~cold7	Bmp2	BMPR1A_BMPR2	0.00247515327305921	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	cold7	cold7
Pdgfra_APC~RT	Pdgfra_APC~RT	Bmp2	BMPR1A_BMPR2	0.000626930694581529	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	RT	RT
VSM~RT	Pdgfra_APC~RT	Bmp2	BMPR1A_BMPR2	0.00368231117006908	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	RT	RT
Pdgfra_APC~TN	Pdgfra_APC~TN	Bmp2	BMPR1A_BMPR2	0.000601588754247895	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	TN	TN
VSM~TN	Pdgfra_APC~TN	Bmp2	BMPR1A_BMPR2	0.00318574319867217	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	TN	TN
VSM~cold2	VSM~cold2	Bmp2	BMPR1A_BMPR2	0.00832982816078564	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	cold2	cold2
VSM~cold7	VSM~cold7	Bmp2	BMPR1A_BMPR2	0.0105698579581564	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	cold7	cold7
Pdgfra_APC~RT	VSM~RT	Bmp2	BMPR1A_BMPR2	0.00117751992030224	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	RT	RT
VSM~RT	VSM~RT	Bmp2	BMPR1A_BMPR2	0.00689322152109842	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	RT	RT
Pdgfra_APC~TN	VSM~TN	Bmp2	BMPR1A_BMPR2	0.000894110971922346	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	TN	TN
VSM~TN	VSM~TN	Bmp2	BMPR1A_BMPR2	0.00472528034186173	0	BMP2_BMPR1A_BMPR2	Bmp2  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	TN	TN
EC~TN	Pdgfra_APC~TN	Bmp6	BMPR1A_ACVR2A	0.000557468692982648	0	BMP6_BMPR1A_ACVR2A	Bmp6  - (Bmpr1a+Acvr2a)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	TN	TN
EC~cold2	Adipocytes~cold2	Bmp6	BMPR1A_BMPR2	0.000416668991219179	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	cold2	cold2
EC~cold7	NMSC~cold7	Bmp6	BMPR1A_BMPR2	0.000861873344037641	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	cold7	cold7
EC~cold7	Pdgfra_APC~cold7	Bmp6	BMPR1A_BMPR2	0.000511152078353485	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	cold7	cold7
EC~RT	Pdgfra_APC~RT	Bmp6	BMPR1A_BMPR2	0.000683037442813076	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	RT	RT
EC~TN	Pdgfra_APC~TN	Bmp6	BMPR1A_BMPR2	0.000648744956977385	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	TN	TN
EC~cold2	VSM~cold2	Bmp6	BMPR1A_BMPR2	0.0024542777410178	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	cold2	cold2
EC~cold7	VSM~cold7	Bmp6	BMPR1A_BMPR2	0.00220112611424683	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	cold7	cold7
EC~RT	VSM~RT	Bmp6	BMPR1A_BMPR2	0.00128300785087105	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	RT	RT
EC~TN	VSM~TN	Bmp6	BMPR1A_BMPR2	0.000964198759696946	0	BMP6_BMPR1A_BMPR2	Bmp6  - (Bmpr1a+Bmpr2)	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	TN	TN
VSM~cold2	Adipocytes~cold2	Gdf15	Tgfbr2	0.000553646848650408	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold2	cold2
VSM~cold7	Adipocytes~cold7	Gdf15	Tgfbr2	0.000558031690598354	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold7	cold7
EC~RT	Adipocytes~RT	Gdf15	Tgfbr2	0.000184850268927493	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	RT	RT
VSM~RT	Adipocytes~RT	Gdf15	Tgfbr2	0.000680409589297905	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	RT	RT
VSM~cold7	Bcells~cold7	Gdf15	Tgfbr2	0.00207424442850309	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold7	cold7
VSM~cold2	CD4T~cold2	Gdf15	Tgfbr2	0.0032659324152681	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold2	cold2
VSM~cold7	CD4T~cold7	Gdf15	Tgfbr2	0.00582998852013794	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold7	cold7
EC~RT	CD4T~RT	Gdf15	Tgfbr2	0.00102365143096132	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	RT	RT
VSM~RT	CD4T~RT	Gdf15	Tgfbr2	0.00375947107859053	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	RT	RT
Lymph_EC~TN	CD4T~TN	Gdf15	Tgfbr2	0.00221394265647751	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	TN	TN
VSM~TN	CD4T~TN	Gdf15	Tgfbr2	0.00779242831280102	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	TN	TN
VSM~cold2	CD8T~cold2	Gdf15	Tgfbr2	0.00262515541406391	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold2	cold2
VSM~cold7	CD8T~cold7	Gdf15	Tgfbr2	0.00196310009319458	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold7	cold7
EC~RT	CD8T~RT	Gdf15	Tgfbr2	0.000839290455728636	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	RT	RT
VSM~RT	CD8T~RT	Gdf15	Tgfbr2	0.00308390644410217	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	RT	RT
Lymph_EC~TN	CD8T~TN	Gdf15	Tgfbr2	0.00190810605268037	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	TN	TN
VSM~TN	CD8T~TN	Gdf15	Tgfbr2	0.00672116418253924	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	TN	TN
VSM~cold2	Cytotoxic_T~cold2	Gdf15	Tgfbr2	0.0012729017996298	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold2	cold2
VSM~cold7	Cytotoxic_T~cold7	Gdf15	Tgfbr2	0.00168121134409491	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold7	cold7
EC~RT	Cytotoxic_T~RT	Gdf15	Tgfbr2	0.000546680612912889	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	RT	RT
VSM~RT	Cytotoxic_T~RT	Gdf15	Tgfbr2	0.00201030921671344	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	RT	RT
Lymph_EC~TN	Cytotoxic_T~TN	Gdf15	Tgfbr2	0.00138063286329292	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	TN	TN
VSM~TN	Cytotoxic_T~TN	Gdf15	Tgfbr2	0.00486966994880226	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	TN	TN
VSM~cold2	EC~cold2	Gdf15	Tgfbr2	0.00175502352073815	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold2	cold2
VSM~cold7	EC~cold7	Gdf15	Tgfbr2	0.00130205614664721	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold7	cold7
EC~RT	EC~RT	Gdf15	Tgfbr2	0.000483536373862882	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	RT	RT
VSM~RT	EC~RT	Gdf15	Tgfbr2	0.00177840965280686	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	RT	RT
Lymph_EC~TN	EC~TN	Gdf15	Tgfbr2	0.00110862377831617	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	TN	TN
VSM~TN	EC~TN	Gdf15	Tgfbr2	0.00391295235845085	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	TN	TN
VSM~cold2	Erythroid-like~cold2	Gdf15	Tgfbr2	0.00168082919528635	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold2	cold2
VSM~cold7	Erythroid-like~cold7	Gdf15	Tgfbr2	0.00120383176175324	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold7	cold7
Lymph_EC~TN	Erythroid-like~TN	Gdf15	Tgfbr2	0.00108578272450188	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	TN	TN
VSM~TN	Erythroid-like~TN	Gdf15	Tgfbr2	0.00383255520760843	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	TN	TN
VSM~cold2	Lymph_EC~cold2	Gdf15	Tgfbr2	0.0101218382992111	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold2	cold2
VSM~cold7	Lymph_EC~cold7	Gdf15	Tgfbr2	0.0103174636915859	0	GDF15_TGFBR2	Gdf15  - Tgfbr2	GDF	Secreted Signaling	KEGG: mmu04350	cold7	cold7
